[INFO ] [2023-05-19 13:38:47,527] Register - Step 01: Navigate to Register page
[INFO ] [2023-05-19 13:38:48,653] Register - Step 02: Input to First name textbox
[INFO ] [2023-05-19 13:38:48,843] Register - Step 03: Input to Last name textbox
[INFO ] [2023-05-19 13:38:49,017] Register - Step 04: Input to Email textbox
[INFO ] [2023-05-19 13:38:49,190] Register - Step 05: Input to Password textbox
[INFO ] [2023-05-19 13:38:49,362] Register - Step 06: Input to Confirm Password textbox
[INFO ] [2023-05-19 13:38:49,531] Register - Step 07: Click to Register button
[INFO ] [2023-05-19 13:38:50,246] Register - Step 08: Verify register success is display
[INFO ] [2023-05-19 13:38:50,327] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-19 13:38:50,728] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-19 13:38:50,878] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-19 13:38:51,028] Login - Step 04: Click to Login button
[INFO ] [2023-05-19 13:38:51,754] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-21 21:35:54,837] Register - Step 01: Navigate to Register page
[INFO ] [2023-05-21 21:35:56,208] Register - Step 02: Input to First name textbox
[INFO ] [2023-05-21 21:35:56,435] Register - Step 03: Input to Last name textbox
[INFO ] [2023-05-21 21:35:56,627] Register - Step 04: Input to Email textbox
[INFO ] [2023-05-21 21:35:56,801] Register - Step 05: Input to Password textbox
[INFO ] [2023-05-21 21:35:56,970] Register - Step 06: Input to Confirm Password textbox
[INFO ] [2023-05-21 21:35:57,141] Register - Step 07: Click to Register button
[INFO ] [2023-05-21 21:35:58,024] Register - Step 08: Verify register success is display
[INFO ] [2023-05-21 21:35:58,119] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-21 21:35:58,713] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-21 21:35:58,938] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-21 21:35:59,183] Login - Step 04: Click to Login button
[INFO ] [2023-05-21 21:36:00,082] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-21 21:37:06,923] Register - Step 01: Navigate to Register page
[INFO ] [2023-05-21 21:37:08,117] Register - Step 02: Input to First name textbox
[INFO ] [2023-05-21 21:37:08,327] Register - Step 03: Input to Last name textbox
[INFO ] [2023-05-21 21:37:08,549] Register - Step 04: Input to Email textbox
[INFO ] [2023-05-21 21:37:08,763] Register - Step 05: Input to Password textbox
[INFO ] [2023-05-21 21:37:08,998] Register - Step 06: Input to Confirm Password textbox
[INFO ] [2023-05-21 21:37:09,204] Register - Step 07: Click to Register button
[INFO ] [2023-05-21 21:37:10,002] Register - Step 08: Verify register success is display
[INFO ] [2023-05-21 21:37:10,267] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-21 21:37:10,762] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-21 21:37:10,998] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-21 21:37:11,280] Login - Step 04: Click to Login button
[INFO ] [2023-05-21 21:37:12,265] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-21 21:40:19,130] Register - Step 01: Navigate to Register page
[INFO ] [2023-05-21 21:40:20,554] Register - Step 02: Input to First name textbox
[INFO ] [2023-05-21 21:40:20,825] Register - Step 03: Input to Last name textbox
[INFO ] [2023-05-21 21:40:21,037] Register - Step 04: Input to Email textbox
[INFO ] [2023-05-21 21:40:21,244] Register - Step 05: Input to Password textbox
[INFO ] [2023-05-21 21:40:21,445] Register - Step 06: Input to Confirm Password textbox
[INFO ] [2023-05-21 21:40:21,677] Register - Step 07: Click to Register button
[INFO ] [2023-05-21 21:40:22,696] Register - Step 08: Verify register success is display
[INFO ] [2023-05-21 21:40:22,991] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-21 21:40:23,537] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-21 21:40:23,784] Login - Step 03: Input to Password textbox
